id,date,message
893965,2026-06-03 15:32:24+00:00,"Hitcher looking for driver 

Date: Today 
Time: 12pm 
Pax: 3
Whole car only

Pick up: Toppen Shopping Centre - Yellow Entrance, P1 
Drop off: Cck  


PM offer pls, no deposit. ok to share car photos"
893964,2026-06-03 15:31:54+00:00,"DRIVER LOOKING FOR HITCHER 🚘

Date : TODAY
Time : Now

Chinese Driver 
Pickup : SG🇸🇬
Drop off : JB🇲🇾
Pax : 1-4 Pax
Whole car: Available 👌
Pick & Go👌

Pm me for more details thanks"
893962,2026-06-03 15:22:51+00:00,"Driver looking for hitcher
Pickup: Jurong
Drop off: bukit indah nearby
Time: 1130-0000 (today)
1-3 pax

Interested pm thx"
893960,2026-06-03 15:15:41+00:00,"‼️🔠🔠🔡🔣🔠🔠 🔠🔠🔠‼️
🚗Driver Looking Hitcher🚗
Door To Door Service

🗓 Date : Today
⏰ Time : Any Time
📌 PickUp : SG/JB Any Way
🚗 Whole Car 
👥 1-4 Pax

✔️ Pay On Arrival 
✔️ No Deposit
💵Cash💳PayNow 💰 EWallet

📱 +6580902145"
893959,2026-06-03 15:10:30+00:00,"@cx_lilly



@cx_lilly"
893958,2026-06-03 15:08:51+00:00,"Hey, there CIK'CHERLY🇲🇾! Welcome to MY🔁SG Daily Carpool!
Please read the pinned post before posting and adhere to group rules and regulations 

To prove that you are human, please complete the captcha below to gain chat access

Thank you and happy carpooling!"
893957,2026-06-03 15:02:42+00:00,"🚗Driver looking for HITCHER  
📆 Date:  03 /06/2026 Today 
⏰ Time: NOW NOW NOW 
🇲🇾 Pick up : JB 
🇸🇬 Drop off : SG 
👥 Pax: 1-6 PAX Avaliable  
NO Deposit,  Affordable PRICE.
Have a good day ahead.
Pm me TQ +601160764575"
893956,2026-06-03 15:02:15+00:00,"Hey, there @momicomel! Welcome to MY🔁SG Daily Carpool!
Please read the pinned post before posting and adhere to group rules and regulations 

To prove that you are human, please complete the captcha below to gain chat access

Thank you and happy carpooling!"
893955,2026-06-03 14:57:01+00:00,"🔥 JB 🇲🇾 ↔ SG 🇸🇬 DAILY CARPOOL 🔥
🔥 新山 ↔ 新加坡 每日拼车/包车 🔥
🚘 Safe • Fast • On Time
🚘 安全 • 快速 • 准时
⏰ DAILY 固定时段
📍 JB ➜ SG
6am｜10am｜2pm｜6pm｜8pm｜10pm
📍 SG ➜ JB
8am｜11am｜2pm｜5pm｜8pm｜11pm
✨ Professional Driver 专业司机
✨ Comfortable Ride 舒适乘坐
✨ 天天出发 Monday - Sunday
📲 PM / WhatsApp NOW
📲 +60167838850
🔥 Limited Seat 位置有限 先订先上车 🔥"
893954,2026-06-03 14:56:27+00:00,"⭐️Driver Looking for Passengers ⭐️
⭐️司機尋找乘客⭐️⭐️

🚘Carpool and charter Service 🚘
🚘拼車與包車服務🚘

MONDAY TO SUNDAY
星期一 至 星期日

< 🇲🇾JB-🇸🇬SG>（新山-新加坡）
6am - 7am
10am - 11am
2pm - 3pm
6pm - 7pm 
8pm - 9pm
< 🇸🇬SG-🇲🇾JB> （新加坡 - 新山）
9am - 10am
12pm - 1pm
4pm - 5pm
8pm - 9pm
11pm - 12am

permanent no available at This moment

👉🏻SAFETY  安全
👉🏻ON TIME 準時
👉🏻PROFESSIONAL 專業


Other timing can check with me 🥰
Please Wa +60167838850 or PM me if interested.

其他時間歡迎向我諮詢🥰
如有興趣可以Wa +60167838850 或 pm我🥰"
